x,y,label,radius,trail_screen
47.761,40.299,1,4.478,trail1
59.701,61.493,2,4.478,trail1
79.403,39.104,3,4.478,trail1
64.179,48.06,4,4.478,trail1
65.672,31.343000000000004,5,4.478,trail1
23.881,29.851,6,4.478,trail1
20.896,50.746,7,4.478,trail1
41.791,55.224,8,4.478,trail1
64.776,41.791,1,2.985,trail2
47.164,27.760999999999996,2,2.985,trail2
71.94,23.881,3,2.985,trail2
68.657,62.687,4,2.985,trail2
43.881,58.806,5,2.985,trail2
55.821,50.746,6,2.985,trail2
41.194,40.299,7,2.985,trail2
28.358,22.388000000000005,8,2.985,trail2
33.134,11.343000000000004,9,2.985,trail2
39.104,23.284000000000006,10,2.985,trail2
61.194,8.358000000000004,11,2.985,trail2
20.299,3.8810000000000002,12,2.985,trail2
26.866,50.448,13,2.985,trail2
18.209,37.313,14,2.985,trail2
17.612,90.746,15,2.985,trail2
26.866,74.627,16,2.985,trail2
50.746,94.03,17,2.985,trail2
47.761,70.746,18,2.985,trail2
72.836,85.075,19,2.985,trail2
58.806,84.776,20,2.985,trail2
79.701,95.224,21,2.985,trail2
80.0,64.77600000000001,22,2.985,trail2
82.09,6.566999999999993,23,2.985,trail2
77.91,44.776,24,2.985,trail2
74.03,9.552000000000007,25,2.985,trail2
44.776,40.299,1,5.075,trail3
62.09,68.657,A,5.075,trail3
83.284,40.597,2,5.075,trail3
63.881,54.627,B,5.075,trail3
63.881,26.566999999999993,3,5.075,trail3
20.597,26.269000000000005,C,5.075,trail3
13.433,66.866,4,5.075,trail3
37.91,57.91,D,5.075,trail3
48.358,55.522,1,2.985,trail4
64.776,28.955,A,2.985,trail4
31.94,19.104,2,2.985,trail4
43.284,81.194,B,2.985,trail4
44.776,67.164,3,2.985,trail4
62.09,44.179,C,2.985,trail4
51.94,84.179,4,2.985,trail4
72.239,87.463,D,2.985,trail4
72.239,53.134,5,2.985,trail4
75.224,13.433000000000007,E,2.985,trail4
44.179,18.209000000000003,6,2.985,trail4
25.373,10.745999999999995,F,2.985,trail4
33.731,56.418,7,2.985,trail4
25.075,36.418,G,2.985,trail4
21.194,82.985,8,2.985,trail4
24.776,48.358,H,2.985,trail4
33.134,88.06,9,2.985,trail4
60.896,89.254,I,2.985,trail4
81.493,94.03,10,2.985,trail4
75.821,28.358000000000004,J,2.985,trail4
80.597,6.866,11,2.985,trail4
16.418,5.671999999999997,K,2.985,trail4
16.119,38.806,12,2.985,trail4
20.896,17.015,L,2.985,trail4
18.209,92.836,13,2.985,trail4
